Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
333538,The Castle,Franz Kafka,"Kafka, Franz",Mark Harman,"=""0805211063""","=""9780805211061""",0,3.93,Schocken,Paperback,328,1998,1926,,2025/01/05,currently-reading,currently-reading (#5),currently-reading,,,,1,0
207300960,Creation Lake,Rachel Kushner,"Kushner, Rachel",,"=""1982116528""","=""9781982116521""",0,3.46,Scribner,Hardcover,416,2024,2024,,2025/01/02,currently-reading,currently-reading (#4),currently-reading,,,,1,0
52762,The Stories of Breece D'J Pancake,Breece D'J Pancake,"Pancake, Breece D'J","James Alan McPherson, John Casey, Andre Dubus III","=""0316715972""","=""9780316715973""",4,4.15,Back Bay Books,Paperback,192,2002,1983,2016/03/07,2016/01/20,,,read,,,,2,0
58542843,Life and Fate,Vasily Grossman,"Grossman, Vasily","Robert Chandler, Polly Jones","=""059332126X""","=""9780593321263""",0,4.45,Everyman's Library,Hardcover,952,2022,1960,,2022/09/13,currently-reading,currently-reading (#3),currently-reading,,,,1,0
208433155,Big Breath In,John Straley,"Straley, John",,"=""1641296542""","=""9781641296540""",2,3.57,Soho Crime,Hardcover,288,2024,2024,2024/12/25,2024/12/23,,,read,,,,1,0
33361409,Spoonbenders,Daryl Gregory,"Gregory, Daryl",,"=""""","=""""",4,3.91,Knopf,Kindle Edition,416,2017,2017,2024/12/23,2024/12/19,,,read,,,,1,0
61327457,"The Blazing World: A New History of Revolutionary England, 1603-1689",Jonathan Healey,"Healey, Jonathan",,"=""0593318358""","=""9780593318355""",0,4.20,Knopf,Hardcover,492,2023,2023,,2024/12/19,currently-reading,currently-reading (#2),currently-reading,,,,1,0
146101695,Wonder Confronts Certainty: Russian Writers on the Timeless Questions and Why Their Answers Matter,Gary Saul Morson,"Morson, Gary Saul",,"=""0674293444""","=""9780674293441""",4,4.53,Belknap Press,Kindle Edition,493,2023,2023,2023/07/03,2023/06/01,,,read,"Title is slightly click baity (read baity?). Overall very good and broad discussions. The most interesting parts were the juxtaposing how a country that produces such deep writers can also produce things like the Soviet Union, which has always been one of the most interesting parts of Russian history.",,,1,0
207598801,Deadpan,Richard Walter,"Walter, Richard",,"=""""","=""9798988717317""",2,3.77,Heresy Press,Paperback,246,2024,,2024/12/18,2024/12/17,,,read,,,,1,0
208145504,What the Chicken Knows: A New Appreciation of the World's Most Familiar Bird,Sy Montgomery,"Montgomery, Sy",,"=""""","=""""",4,3.91,Atria Books,Kindle Edition,91,2024,2024,2024/12/14,2024/12/13,,,read,,,,1,0
101146050,The Glutton,A.K. Blakemore,"Blakemore, A.K.",,"=""1668030624""","=""9781668030622""",4,3.79,Scribner,Hardcover,320,2023,2023,2024/12/13,2024/12/05,,,read,,,,1,0
